employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-95822412,Danielle,Johnson,Female,Michigan,Warren,2016-04-16,Operations,Logistics Coordinator,Bachelor,57597,Good,Yes,1987-11-02,2020-12-25
00-46913810,John,Taylor,Female,New York,New York City,2017-02-09,Marketing,Marketing Manager,Bachelor,79525,Needs Improvement,No,1973-06-11,2018-10-23
00-28728463,Erica,Mcclain,Female,New York,New York City,2022-02-03,Customer Service,Help Desk Technician,High School,82710,Good,No,1970-02-05,2023-04-15
00-83197857,Brittany,Johnson,Female,New York,New York City,2016-02-06,Operations,Inventory Specialist,High School,55193,Good,No,1990-01-06,2020-10-11
00-66629388,Jeffery,Wagner,Male,New York,Buffalo,2015-01-11,Operations,Logistics Coordinator,Bachelor,60425,Excellent,No,1999-12-25,2019-05-17
00-22575562,Anna,Baldwin,Female,Michigan,Grand Rapids,2017-09-30,Operations,Inventory Specialist,High School,55841,Good,Yes,2001-02-17,2021-03-04
00-77827638,Amy,Robinson,Male,Pennsylvania,Philadelphia,2021-08-17,Sales,Sales Consultant,Bachelor,92354,Satisfactory,No,1997-04-04,2022-11-27
00-85329037,Joshua,Booth,Male,New York,Rochester,2017-10-22,Sales,Sales Consultant,PhD,70156,Satisfactory,No,1982-06-08,2022-09-10
00-97226012,Linda,Wolfe,Male,New York,Rochester,2022-05-13,Operations,Logistics Coordinator,Bachelor,68196,Good,No,1988-01-28,2018-03-24
00-66306997,Joshua,Lewis,Male,Michigan,Detroit,2017-10-24,Customer Service,Help Desk Technician,High School,65195,Needs Improvement,No,1985-08-10,2021-05-29
00-89089901,Matthew,Davis,Male,Illinois,Chicago,2017-02-07,IT,IT Support Specialist,High School,63829,Good,No,1999-10-28,2018-01-11
00-10872248,Michael,Cooper,Female,New York,Buffalo,2022-04-13,Sales,Sales Consultant,PhD,78495,Good,Yes,1994-01-13,2024-06-19
00-31429110,Lindsay,Blair,Female,New York,New York City,2022-07-28,IT,IT Support Specialist,High School,62922,Good,No,1985-02-12,2019-05-10
00-55667651,David,Nielsen,Male,New York,Buffalo,2017-01-31,Operations,Inventory Specialist,Bachelor,67294,Good,Yes,1972-04-13,2024-09-12
00-38898923,Andrea,Calderon,Female,New York,Rochester,2024-08-28,Sales,Sales Consultant,Master,73961,Satisfactory,Yes,1992-02-08,2024-02-29
00-55176955,Nicole,Ward,Female,New York,Rochester,2016-03-15,Customer Service,Help Desk Technician,High School,80147,Satisfactory,No,1987-09-01,2017-08-17
00-60992979,Janet,Williams,Male,New York,New York City,2016-03-29,Operations,Inventory Specialist,High School,61255,Needs Improvement,No,1989-09-14,2024-10-25
